Username,Address,Rating,Comment
Rouleslite光,Lake of the Restored Sword,3,"View nhìn bình thường, xung quanh toàn rác, một số nơi còn có mùi khai, cứ mấy bước lại có ăn xin. Được cái nhộn nhịp, đông vui"
Chou Happy,Lake of the Restored Sword,3,"Hồ vẫn đẹp vậy nhưng t sợ cách buôn bán ở đây quá.
Mua trái cây theo lạng , t nói mua 1 lạng không bán rồu t nói lấy thêm tầm 2 lạng thôi
Không cho t nhìn cân nói mất 100k tiền quả roi dầm
Trải nghiệm quá tệ
Trước HN khi t còn đi học rất đẹp càng về sau càng tha hoá kiếm tiền ,chém giá :))"
Nhật Đức Gịp,Lake of the Restored Sword,3,Đi bộ mỏi chân ! Rộng quá rộng ! Ko nên ăn trái cay ven hồ ! Rất mắc ! Khi đi dạo nên mang theo nước suối để uống
Việt Phong,Lake of the Restored Sword,3,Hồ Hoàn Kiếm không còn chất Hà Nội. Quá xô bồ bởi những hàng quán và người bán rong. Cảnh thì đẹp nhưng để kiếm được góc riêng để chụp hình thì quá khó
Vu Cao,Lake of the Restored Sword,3,Di tích lịch sử của người việt xưa
khoat nguyen,Lake of the Restored Sword,3,"Trước đây là một đoạn của sông Hồng, do s Hồng thay đổi dòng chảy nên tạo ra hồ. Hồ không lớn nhưng có vai trò rất quan trọng trong việc điều hoà nhiệt độ cho Hà Nội."
Mỹ Duyên Nguyễn Thị,Lake of the Restored Sword,3,"Địa điểm này rất đông và náo nhiệt, tuy nhiên nước trong hồ vẫn còn khá nhiều rác, nước hồ thì xanh đục ngầu. Có những cây phượng lâu năm che bóng mát nữa."
Bích Phạm,Lake of the Restored Sword,3,"Ko  gian  sạch  sẽ  , thoáng  mát  , địa điểm  tham  quan  hấp dẫn  Tuy  nhiên  cần phải  kiểm  soát  chặt  chẽ  tình  trạng chặt chém  khách  tây"
Kiến Còm,Lake of the Restored Sword,3,"Không có biển chỉ đường cho khách lạ , không có sơ đồ quanh đó. Khu vui chơi quy hoạch ko hợp lý, các hoạt động không nhiều , chủ yếu là tự phát."
Thi Kim Ha Nguyen,Lake of the Restored Sword,3,Đông đúc. Dể kẹt xe dù đi ngày thường. Buổi tối ít thấy đẹp
Tiên,Lake of the Restored Sword,3,"Đẹp, nhưng hà nội ngày càng ô nhiễm, thật buồn ngày trở lại.."
Đức Nguyễn,Lake of the Restored Sword,3,Cảnh quan đẹp nhưng hơi đông xe và nhiều khói bụi
Helix Wright,Lake of the Restored Sword,3,"Không khí trong lành, cảnh đẹp. Thỉnh thoảng vẫn có 1 số người hơi thiếu ý thức."
Victor Davies,Lake of the Restored Sword,3,"Cảnh đẹp, phù hợp đi bộ quanh bờ hồ mỗi buổi sáng sớm."
Linh Nguyễn,Lake of the Restored Sword,3,Trung tâm của thủ đô thoáng mát . đẹp có phố đi bộ vào cuối tuần
Trong Nguyen,Lake of the Restored Sword,3,"Chấp nhận được.Nhưng hơi ồn ào đông đúc ,mà mình thích sự thoải mái tự do hơn."
Binh Phan,Lake of the Restored Sword,3,"Trung tâm nên bao giờ cũng đông, mấy chỗ bán hoa quả chặt chém kinh..."
Pham Amy,Lake of the Restored Sword,3,"Chắc tại chưa quen cuộc sống nắng nóng chật chội, ko chỗ gửi xe ở khu vực này."
Hà Quang Nguyễn,Lake of the Restored Sword,3,Cảnh đẹp.Tuy nhiên vệ sinh khu vực ven hồ còn tệ.
Thái,Lake of the Restored Sword,3,cũng đẹp
hanh thuy trinh,Lake of the Restored Sword,3,"Vui lắm, phố đi bộ cạnh bên, thỉnh thoảng mình còn hay cho cá ăn nữa"
lê vân,Lake of the Restored Sword,3,"Nóng và nhiều ng bật nhạc vinahey quá ầm ĩ, ảnh hưởng đến nhĩ quan của ng đi đường"
Trai Họ Lê,Lake of the Restored Sword,3,Rìa bờ hồ nên có hàng rào ngăn cách để đảm bảo an toàn
ღTřîštāŋāღ OCP,Lake of the Restored Sword,3,Chả có gì ngoài bán dong ở đấy giá bến xe =))
Harry explores the world,Lake of the Restored Sword,3,Không nên đi dịp countdown. Ngạt thở
Thắng Nguyễn,Lake of the Restored Sword,3,Đi bộ vào ban đêm hay buổi sáng đều rất tuyệt
